BatchNumber,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41
48,5.000497,17.881,27.92477,,5.000497,5.050548,26.65234,27.9,36.1,39.4,23.2,920.1808,2104.755,2170.493,1018.348,23.52186,26.00772,30.47944,33.47432,31.14741,140.6457,129.2562,5.000978,60.01913,24.84496,31.47035,5.083826,27.39155,7.491282,54.92872,5.000978,60,40,13,4.933381,11,4.948977,4.948977,6041.861,5626.764,4961.828125
49,4.997181,17.78372,49.2153,,4.999668,5.049625,26.67417,28.2,36,39.6,23.2,928.3503,2086.723,2123.944,1063.942,23.52186,26.00772,30.47944,33.81025,30.97944,140.6457,129.2562,5.000978,60.35506,25.24115,31.69817,5.085043,27.12443,7.497666,54.92741,5.000978,60,40,13,4.935226,11,4.950777,4.999358,6050.097,5618.528,18333.06641
50,5.001327,19.88327,26.83528,,4.999668,5.050548,26.67232,28.4,35.9,39.6,23.2,928.6581,2074.329,2170.84,1063.942,23.35389,26.00772,30.47944,33.47432,31.14741,140.6457,130.4152,5.001717,60.52303,25.64613,32.02081,5.091131,26.85463,7.497666,54.95352,5.001717,60,40,13,4.955524,11,4.957074,4.964271,6050.097,5626.764,5018.657227
51,5.004643,20.31615,27.10765,,4.999668,5.050548,26.66964,28.6,35.9,39.5,23.3,921.2494,2085.899,2170.84,1018.52,23.18593,25.83976,30.47944,33.64228,31.31537,140.7449,129.0883,5.00024,60.35506,25.15515,31.95987,5.085043,26.93439,7.488091,54.92741,5.00024,60,40,13,4.942607,11,4.959773,4.957973,6050.097,5618.528,4993.949219
52,5.002985,19.99514,27.8129,,4.998839,5.051471,26.67048,28.6,36,39.5,23.2,903.8658,2064.948,2170.493,1063.942,23.18593,25.67179,30.16031,32.98723,30.97944,140.5465,130.7343,5.00024,60.69099,25.20136,31.6493,5.080174,27.05615,7.500858,54.96657,5.00024,60,40,13,4.92969,11,4.962472,4.962472,6057.51,5626.764,4993.949219
53,4.999668,19.33852,26.93093,,4.999668,5.050548,26.66561,28.4,36,39.4,23.2,920.9443,2088.62,2188.992,1030.232,23.52186,26.00772,30.47944,33.47432,30.66031,140.6457,130.7343,4.999502,61.34605,25.75945,31.93604,5.082609,27.34278,7.497666,54.96657,4.999502,60,40,13,4.946298,11,4.947178,4.957973,6050.097,5618.528,4993.949219
54,5.000497,20.33074,27.76427,,4.999668,5.050548,26.6646,28.3,36.1,39.4,23.2,928.5043,2073.53,2122.925,1052.44,23.35389,26.00772,30.47944,33.64228,30.97944,140.4473,130.5831,5.000978,60.1871,25.36916,31.74823,5.092348,26.61681,7.491282,54.90262,5.000978,60,40,13,4.942607,11,4.969669,4.966071,6041.861,5610.292,5010.420898
55,5.001327,20.07458,28.42088,,4.999668,5.049625,26.66107,28.1,36.1,39.4,23.2,928.3503,2088.471,2188.992,1018.348,23.52186,25.83976,30.47944,33.81025,30.97944,140.6457,130.5831,4.998764,60.1871,25.6165,32.09465,5.085043,26.66079,7.500858,54.94047,4.998764,60,40,13,4.944453,11,4.96697,4.961572,6050.097,5626.764,5018.657227
56,4.99801,19.6417,25.79442,,5.000497,5.049625,26.77058,27.9,36.1,39.6,23.2,920.1808,2087.06,2175.568,1018.348,23.52186,25.67179,30.31148,33.97821,31.31537,140.7449,130.5831,5.001717,60.1871,25.33448,31.96834,5.091131,26.71009,7.497666,54.96657,5.001717,60,40,13,4.937072,11,4.966071,4.958873,6057.51,5618.528,5018.657227
57,4.999668,19.86706,27.9572,,5.000497,5.050548,26.75429,27.7,35.9,39.5,23.1,927.5804,2081.074,2203.374,1052.262,23.52186,25.83976,30.31148,33.81025,31.31537,140.6457,130.4152,5.00024,60.69099,25.13737,31.76086,5.083826,27.10344,7.481707,54.91436,5.000978,60,40,13,4.942607,11,4.961572,4.956174,6041.861,5618.528,5026.893555
